codigo_producto;codebar1;Codigo_2;Codigo_3;Codigo_4;Codigo_5;Codigo_6;Codigo_7;Codigo_8;Codigo_9;Codigo_10;Codigo_11;Codigo_12;Codigo_13;Codigo_14;Codigo_15;Codigo_16
3011434204;8411061822203;;;;;;;;;;;;;;;
3011420056;8411061860441;8411061081143;8411061081365;;;;;;;;;;;;;
3011420057;8411061080719;8411061860410;;;;;;;;;;;;;;
3011419367;8411061081365;8411061819623;;;;;;;;;;;;;;
3011419368;8411061813973;8411061081341;;;;;;;;;;;;;;
3011420421;8411061829530;;;;;;;;;;;;;;;
3011418344;8411061082935;8411061784273;;;;;;;;;;;;;;
3011418345;8411061784280;8411061081761;;;;;;;;;;;;;;
3011420063;8411061819685;;;;;;;;;;;;;;;
3011434214;8411061972076;;;;;;;;;;;;;;;
3011445089;8411061027011;;;;;;;;;;;;;;;
3011446982;8411061998694;;;;;;;;;;;;;;;
3011423336;8411061971918;;;;;;;;;;;;;;;
3011420599;8411061917510;;;;;;;;;;;;;;;
3011456880;8411061081426;84110061913024;8411061913024;;;;;;;;;;;;;
3011420858;8411061912997;;;;;;;;;;;;;;;
3011434227;8411061972069;;;;;;;;;;;;;;;
3011445581;8411061011195;;;;;;;;;;;;;;;
3011417439;8411061695951;8411061081266;;;;;;;;;;;;;;
3011434229;8411061698594;;;;;;;;;;;;;;;
3011417708;8411061727935;8411061081013;;;;;;;;;;;;;;
3011417709;8411061722756;8411061080764;;;;;;;;;;;;;;
3011420062;8411061791691;;;;;;;;;;;;;;;
3011453926;8411061057643;8411061079997;;;;;;;;;;;;;;
3011453927;8411061059548;8411061080009;;;;;;;;;;;;;;
3011454324;8411061034989;;;;;;;;;;;;;;;
3011454348;8411061034972;;;;;;;;;;;;;;;
3011452204;8411061079942;8411061999264;;;;;;;;;;;;;;
3011452205;8411061999332;8411061079959;;;;;;;;;;;;;;
3011445855;8411061971857;8411061085295;;;;;;;;;;;;;;
3011445856;8411061971925;;;;;;;;;;;;;;;
3011417576;8411061081044;8411061701041;;;;;;;;;;;;;;
3011417577;8411061080641;8411061701034;;;;;;;;;;;;;;
3011434238;8411061822760;;;;;;;;;;;;;;;
3011420054;8411061860564;;;;;;;;;;;;;;;
3011420055;8411061860502;;;;;;;;;;;;;;;
3011412275;8411061081846;8411061820100;8411061982020;;;;;;;;;;;;;
1007900027;7796285050658;;;;;;;;;;;;;;;
1007900280;7796285272623;;;;;;;;;;;;;;;
1007900281;7796285272616;;;;;;;;;;;;;;;
1020300367;7795345123387;;;;;;;;;;;;;;;
1020300368;7795345123394;;;;;;;;;;;;;;;
1020300369;7795345123363;;;;;;;;;;;;;;;
1020300370;7795345123400;;;;;;;;;;;;;;;
