codigoInterno,Nom Reducido,idItem,idTipoIVA,idCategoria,IDSubRubro,Codigo_de_Envase_asociado,Porc_de_Impuesto_Interno,precio_final,FechaUltimoPrecio,descrip reducida,Eliminacion_de_item,Tipo de Unidad,Unidad,Dias_de_Vencimiento,Tamanio de Letra,productos.FechaUltimoPrecio,Codigo_Adicional,Permite_Modif_Descripcion,Precio adicional de venta con IVA,Codigo de Plantilla de Etiqueta,Codigo de IVA Diferencial,UltimoPrecio,Precio_de_Oferta_Etiquetas,IDProducto,Codigo_de_envase_asociado_ERP,Monto_de_Impuesto_Interno,productos.idTipoIVA,Aplica_Percepcion_5329,Costo _el_articulo,idProveedor,IDRubro,idMarca,Fecha Inicio,Fecha Fin
8225,VINO ESPUMANTE SANTA JULIA DULCE X 750ML,,3,60,265,0,0,10710.32,2025-01-13,VINO ESPUMANTE SANTA JULIA DULCE X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,7140.21, ,3011459449, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8226,VINO ESPUMANTE SANTA JULIA CLASIC CUVEE X 750ML,,3,60,265,0,0,10395.59,2025-01-13,VINO ESPUMANTE SANTA JULIA CLASIC CUVEE X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,5775.33, ,3011459450, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8227,VINO ALAMBRADO BLANCO BLANC DE BLANCS X 750ML,,3,60,266,0,0,13950.82,2025-01-13,VINO ALAMBRADO BLANCO BLANC DE BLANCS X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,6975.408, ,3011459451, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8228,VINO SANTA JULIA TEXTUAL IN ALB X 750ML,,3,60,266,0,0,13249.98,2025-01-13,VINO SANTA JULIA TEXTUAL IN ALB X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,7280.57, ,3011459452, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8229,VINO ZUCCARDI SERIE A CHARDONNAY-VIOG X 750ML,,3,60,266,0,0,14000.0,2025-01-13,VINO ZUCCARDI SERIE A CHARDONNAY-VIOG X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,7691.97, ,3011459453, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8230,VINO ALAMBRADO CHADONNAY X 750ML,,3,60,266,0,0,8150.56,2025-01-13,VINO ALAMBRADO CHADONNAY X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,4075.28, ,3011459454, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8231,VINO SANTA JULIA CHARDONNAY X 750ML,,3,60,266,0,0,4900.0,2025-01-13,VINO SANTA JULIA CHARDONNAY X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,2692.25, ,3011459455, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8232,VINO SANTA JULIA CHARDONNAY RESERVA X 750ML,,3,60,266,0,0,7199.98,2025-01-13,VINO SANTA JULIA CHARDONNAY RESERVA X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,3955.49, ,3011459456, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8233,VINO SJ LA MANTIS PET NATURAL X 750ML,,3,60,266,0,0,16000.04,2025-01-13,VINO SJ LA MANTIS PET NATURAL X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,8790.65, ,3011459457, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8234,VINO TENSION RIBERA CHARDONNAY SEMILLON X 750ML,,3,60,266,0,0,8100.0,2025-01-13,VINO TENSION RIBERA CHARDONNAY SEMILLON X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,4450.38, ,3011459458, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8236,VINO SANTA JULIA CHENIN DULCE X 330ML,,3,60,266,0,0,2950.01,2025-01-13,VINO SANTA JULIA CHENIN DULCE X 330ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,1621.4, ,3011459461, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8238,VINO SANTA JULIA SAUVIGNON BLANC X 750ML,,3,60,266,0,0,4900.0,2025-01-13,VINO SANTA JULIA SAUVIGNON BLANC X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,2692.25, ,3011459464, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8239,VINO SANTA JULIA TARDIO X 500ML,,3,60,266,0,0,6099.99,2025-01-13,VINO SANTA JULIA TARDIO X 500ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,3351.7, ,3011459465, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8240,VINO SANTA JULIA TORRONTES X 750ML,,3,60,266,0,0,4900.0,2025-01-13,VINO SANTA JULIA TORRONTES X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,2692.25, ,3011459467, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8241,VINO ZUCCARDI SERIE A TORR X 750ML,,3,60,266,0,0,14000.0,2025-01-13,VINO ZUCCARDI SERIE A TORR X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,7691.97, ,3011459468, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8242,VINO MALAMADO VIOGNIER FORTIFICADO X 750ML,,3,60,266,0,0,19800.04,2025-01-13,VINO MALAMADO VIOGNIER FORTIFICADO X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,9900.22, ,3011459470, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8243,VINO SANTA JULIA VIOGNIER X 750ML,,3,60,266,0,0,4900.0,2025-01-13,VINO SANTA JULIA VIOGNIER X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,2692.25, ,3011459471, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8244,VINO ALAMBRADO PINOT ROSE X 750ML,,3,60,266,0,0,13950.0,2025-01-13,VINO ALAMBRADO PINOT ROSE X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,6974.44, ,3011459472, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8245,VINO SANTA JULIA SYRAH ROSE X750ML,,3,60,266,0,0,4900.0,2025-01-13,VINO SANTA JULIA SYRAH ROSE X750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,2692.25, ,3011459473, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8246,VINO SANTA JULIA CABER FRANC-MALBEC RESERVA X 750ML,,3,60,266,0,0,4900.0,2025-01-13,VINO SANTA JULIA CABER FRANC-MALBEC RESERVA X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,2692.25, ,3011459474, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8247,VINO SANTA JULIA MAGNA CORTE X 750ML,,3,60,266,0,0,9600.02,2025-01-13,VINO SANTA JULIA MAGNA CORTE X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,5274.39, ,3011459475, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8248,VINO SANTA JULIA TEXTUAL IN CALAD X 750ML,,3,60,266,0,0,13249.98,2025-01-13,VINO SANTA JULIA TEXTUAL IN CALAD X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,7280.57, ,3011459476, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8249,VINO SANTA JULIA TEXTUAL IN CAR X 750ML,,3,60,266,0,0,13249.98,2025-01-13,VINO SANTA JULIA TEXTUAL IN CAR X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,7280.57, ,3011459477, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8250,VINO TENSION RIBERA CABERNET SAUV FR X 750ML,,3,60,266,0,0,8100.0,2025-01-13,VINO TENSION RIBERA CABERNET SAUV FR X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,4450.38, ,3011459478, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8251,VINO ZUCCARDI BRAZOS RED BLEND X 750ML,,3,60,266,0,0,11500.01,2025-01-13,VINO ZUCCARDI BRAZOS RED BLEND X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,6318.62, ,3011459479, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8252,VINO ZUCCARDI SERIE A BONARDA,,3,60,266,0,0,14000.0,2025-01-13,VINO ZUCCARDI SERIE A BONARDA,N,1,1,5,0,2025-01-13,*,N,0,-1,0,7691.97, ,3011459480, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8253,VINO ALAMBRADA CABERNET SAUV X 750ML,,3,60,266,0,0,8150.56,2025-01-13,VINO ALAMBRADA CABERNET SAUV X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,4075.28, ,3011459481, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8254,VINO GRAN ALAMBRADO CABERNET X 750ML,,3,60,266,0,0,10800.22,2025-01-13,VINO GRAN ALAMBRADO CABERNET X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,5400.109, ,3011459482, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8255,VINO SANTA JULIA CABERNET SAUV RESERVA X 750ML,,3,60,266,0,0,7199.98,2025-01-13,VINO SANTA JULIA CABERNET SAUV RESERVA X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,3955.49, ,3011459483, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8256,VINO SANTA JULIA CABERNET FRANC X 750ML,,3,60,266,0,0,4900.0,2025-01-13,VINO SANTA JULIA CABERNET FRANC X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,2692.25, ,3011459484, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8257,VINO SANTA JULIA CABERNET SAUV X 750ML,,3,60,266,0,0,4900.0,2025-01-13,VINO SANTA JULIA CABERNET SAUV X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,2692.25, ,3011459485, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8258,VINO SANTA JULIA MAGNA CABERNET X 750ML,,3,60,266,0,0,9600.02,2025-01-13,VINO SANTA JULIA MAGNA CABERNET X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,5274.39, ,3011459486, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8259,VINO ZUCCARDI Q CABERNET SAUV X 750ML,,3,60,266,0,0,22500.0,2025-01-13,VINO ZUCCARDI Q CABERNET SAUV X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,12362.57, ,3011459487, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8260,VINO ALAMBRADO CABERNET FRANC X 750ML,,3,60,266,0,0,8150.56,2025-01-13,VINO ALAMBRADO CABERNET FRANC X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,4075.28, ,3011459488, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8261,VINO ZUCCARDI Q CABERNET FRANC C20 X 750ML,,3,60,266,0,0,22500.0,2025-01-13,VINO ZUCCARDI Q CABERNET FRANC C20 X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,12362.57, ,3011459489, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8263,VINO SANTA JULIA TINTO DULCE X 750ML,,3,60,266,0,0,5899.99,2025-01-13,VINO SANTA JULIA TINTO DULCE X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,3241.59, ,3011459491, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8264,VINO ALAMBRADO MALBEC X 750ML,,3,60,266,0,0,8150.56,2025-01-13,VINO ALAMBRADO MALBEC X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,4075.28, ,3011459492, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8265,VINO EL BURRO MALBEC X 750ML,,3,60,266,0,0,16001.04,2025-01-13,VINO EL BURRO MALBEC X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,8000.52, ,3011459493, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8266,VINO GRAN ALAMBRADO MALBEC X 750ML,,3,60,266,0,0,10800.46,2025-01-13,VINO GRAN ALAMBRADO MALBEC X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,5400.23, ,3011459498, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8267,VINO MALAMADO MALBEC FORTIFICADO X 750ML,,3,60,266,0,0,19800.04,2025-01-13,VINO MALAMADO MALBEC FORTIFICADO X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,9900.22, ,3011459499, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8268,VINO DEL MERCADO MALBEC X 750ML,,3,60,266,0,0,8910.2,2025-01-13,VINO DEL MERCADO MALBEC X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,4950.11, ,3011459500, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8271,VINO SANTA JULIA MAGNA MALBEC X 750ML,,3,60,266,0,0,9600.02,2025-01-13,VINO SANTA JULIA MAGNA MALBEC X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,5274.39, ,3011459504, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8272,VINO SANTA JULIA MALBEC X 750ML,,3,60,266,0,0,4900.0,2025-01-13,VINO SANTA JULIA MALBEC X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,2692.25, ,3011459505, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8273,VINO SANTA JULIA RESERVA MALBEC X 750ML,,3,60,266,0,0,7199.98,2025-01-13,VINO SANTA JULIA RESERVA MALBEC X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,3955.49, ,3011459506, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8274,VINO ZUCCARDI SERIE A MALBEC X 750ML,,3,60,266,0,0,14000.0,2025-01-13,VINO ZUCCARDI SERIE A MALBEC X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,7691.97, ,3011459507, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8276,VINO ZUCCARDI SERIE A MALBEC X 375ML,,3,60,266,0,0,8300.0,2025-01-13,VINO ZUCCARDI SERIE A MALBEC X 375ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,4560.49, ,3011459510, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8277,VINO GRAN ALAMBRADO MALBEC- CABERNET X 750ML,,3,60,266,0,0,10800.46,2025-01-13,VINO GRAN ALAMBRADO MALBEC- CABERNET X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,5400.23, ,3011459512, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8278,VINO SANTA JULIA MERLOT X 750ML,,3,60,266,0,0,4900.0,2025-01-13,VINO SANTA JULIA MERLOT X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,2692.25, ,3011459513, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8279,VINO SANTA JULIA PINOT NOIR X 750ML,,3,60,266,0,0,4900.0,2025-01-13,VINO SANTA JULIA PINOT NOIR X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,2692.25, ,3011459515, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8280,VINO SANTA JULIA SYRAH X 750ML,,3,60,266,0,0,4900.0,2025-01-13,VINO SANTA JULIA SYRAH X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,2692.25, ,3011459518, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8281,VINO SANTA JULIA RESERVA TEMPR X 750ML,,3,60,266,0,0,7199.98,2025-01-13,VINO SANTA JULIA RESERVA TEMPR X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,3955.49, ,3011459519, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8283,VINO ZUCCARDI Q TEMPRANILLO X 750ML,,3,60,266,0,0,22500.0,2025-01-13,VINO ZUCCARDI Q TEMPRANILLO X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,12362.57, ,3011459521, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8284,VINO TENSION RIBERA MAL PETIT VERDOT X 750ML,,3,60,266,0,0,8100.0,2025-01-13,VINO TENSION RIBERA MAL PETIT VERDOT X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,4450.38, ,3011459522, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8285,VINO SANTA JULIA MALBEC ROSE LATA X 269ML,,3,60,266,0,0,2400.0,2025-01-13,VINO SANTA JULIA MALBEC ROSE LATA X 269ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,1318.9, ,3011459523, ,-1,3,N,-1,1456,4,0,01/12/2024,31/12/2024
8286,GASEOSA COCA-COLA LATA X 220ML,,3,63,263,0,0,800.0,2025-01-13,GASEOSA COCA-COLA LATA X 220ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,592.598, ,3011459604, ,-1,3,N,-1,1155,4,719,01/12/2024,31/12/2024
8287,AGUA TONICA SCHWEPPES LATA X 310ML,,3,63,263,0,0,1000.0,2025-01-13,AGUA TONICA SCHWEPPES LATA X 310ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,689.652, ,3011459605, ,-1,3,N,-1,1155,4,839,01/12/2024,31/12/2024
8288,VINO BLANCO OTRO LOCO MAS ICE X 750ML,,3,60,266,0,0,4101.03,2025-01-13,VINO BLANCO OTRO LOCO MAS ICE X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,2971.76, ,3011459902, ,-1,3,N,-1,1457,4,0,01/12/2024,31/12/2024
8290,VINO SALENTEIN RESERVA CABERNET FRANC 2022 X 750 ML,,3,60,266,0,0,12529.99,2025-01-13,VINO SALENTEIN RESERVA CABERNET FRANC 2022 X 750 ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,6884.61, ,3011460004, ,-1,3,N,-1,1406,4,0,01/12/2024,31/12/2024
8291,VINO ANDELUNA ALTITUD CHARDONNAY X 750ML,,3,60,266,0,0,11449.99,2025-01-13,VINO ANDELUNA ALTITUD CHARDONNAY X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,5724.994, ,3011460078, ,-1,3,N,-1,1222,4,0,01/12/2024,31/12/2024
8292,VINO LAS PERDICES LOGIA MALBEC BLANC X 750ML,,3,60,266,0,0,22000.01,2025-01-13,VINO LAS PERDICES LOGIA MALBEC BLANC X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,14285.72, ,3011460079, ,-1,3,N,-1,1222,4,0,01/12/2024,31/12/2024
8293,VINO LAS PERDICES ALA COLORADA TANAT X 750ML,,3,60,266,0,0,14499.99,2025-01-13,VINO LAS PERDICES ALA COLORADA TANAT X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,9415.579, ,3011460080, ,-1,3,N,-1,1222,4,0,01/12/2024,31/12/2024
8294,VINO LAS PERDICES VARIETAL RED BLEND X 750ML,,3,60,266,0,0,7199.99,2025-01-13,VINO LAS PERDICES VARIETAL RED BLEND X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,4675.319, ,3011460081, ,-1,3,N,-1,1222,4,0,01/12/2024,31/12/2024
8295,VINO ANDELUNA 1300 CABERNET X 750ML,,3,60,266,0,0,7440.0,2025-01-13,VINO ANDELUNA 1300 CABERNET X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,3720.0, ,3011460082, ,-1,3,N,-1,1222,4,0,01/12/2024,31/12/2024
8296,VINO ANDELUNA ALTITUD CABERNET X 750ML,,3,60,266,0,0,11449.99,2025-01-13,VINO ANDELUNA ALTITUD CABERNET X 750ML,N,1,1,5,0,2025-01-13,*,N,0,-1,0,5724.994, ,3011460083, ,-1,3,N,-1,1222,4,0,01/12/2024,31/12/2024
